id,target,comment,label,language,source
25522,La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?,"Pour une grande partie de la population salariée, c'est devenu un casse-tête, surtout avec une famille, de trouver un logement adéquat (surface, transports publics, équipement scolaire et parascolaire, terrains de jeu à proximité).",FAVOR,fr,X-Stance
25526,La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,"Oui. Le drame vécu par les imprimeurs typos, poussés brusquement à passer de la typographie à l'offset et autres techniques informatisées, a révélé une grande irresponsabilité de l'État et des magnats de la branche reconvertie.",FAVOR,fr,X-Stance
26048,La Confédération devrait-elle soutenir davantage les énergies renouvelables?,La politique de l'arrosoir n'est pas efficace. La Confédération doit soutenir les énergies renouvelables mais il faut trouver les meilleurs moyens pour accélérer la production d'énergies renouvelables,FAVOR,fr,X-Stance
26285,Êtes-vous favorable à l'introduction d'un salaire minimum de 4’000 CHF pour toutes les personnes salariées pour un poste à plein temps?,Des mesures alternatives comme l'accès aux formations ou l'évolution professionnelle doivent également être garanties en cas d'instauration du salaire minimum.,FAVOR,fr,X-Stance
26403,Êtes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femmes?,"Tant que l'écart salarial inexpliqué entre hommes et femmes n'est pas supprimé, des mesures concrètes doivent être prises.",FAVOR,fr,X-Stance
26658,"Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?",Si la vaccination obligatoire permet de prévenir des pandémies c'est une bonne option. Toutefois attention à ne pas définir des vaccins obligatoires pour enrichir les industries pharmaceutiques. Les vaccins obligatoires doivent répondre à un besoin de santé publique.,FAVOR,fr,X-Stance
27515,"Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?","Les théories anti-vaccins sont aussi irrationnelles que dangereuses, et ont directement pour effet de faire réapparaître des maladies que l'on avait pensé éradiquées. Mais l'obligation ne doit clairement porter que sur les vaccins dont la nécessité est reconnue (hors de question, par exemple, de rendre obligatoire le vaccin contre la grippe)",FAVOR,fr,X-Stance
28155,Une initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition?,Cependant leur application ne doit pas ressembler à aucune forme «d'ingérence » de la part de la Suisse dans les pays concernés,FAVOR,fr,X-Stance
28767,Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,C'est essentiel. Le système des subsides ne fonctionne plus à force de vouloir faire des économies.,FAVOR,fr,X-Stance
29086,Une initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition?,"La Suisse et ses habitants ont une responsabilité qui doit aller au-delà de ses frontières. Nos actions ici ont des conséquences sur la vie d'hommes et de femmes ailleurs. Nous vivons dans une monde globailisé, qu'on le veuille ou non, et nos actions doivent être réfléchies en conséquences.",FAVOR,fr,X-Stance
29100,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,"Je suis pour le principe. Je pense qu'il s'agit d'une méthode d'avenir. Toutefois, la Suisse n'a pas suffisamment mis de moyens pour l'instant pour que cela soit protégé.",AGAINST,fr,X-Stance
30495,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"Pour les spécialistes de la santé du groupe parlementaire des VERTS, la mise en oeuvre de cette initiative est peu claire. Par ex.: le plafonnement des dépenses se fera-t-il au détriment de la qualité et de la sécurité des soins?",AGAINST,fr,X-Stance
32503,"Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?","La production des vaccins actuels se fait de plus en plus fréquemment par l'adjonction de produits toxiques comme l'aluminium, par ailleurs totalement inutile. En fait, derrière les vaccins se cachent des enjeux commerciaux énormes, au point de pouvoir manipuler les choix publics en matière de santé. Il est prioritaire d'amener plus de transparence dans les processus décisionnels.",AGAINST,fr,X-Stance
33372,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,L'accès aux soins est déjà problématique pour près d'un quart de la population. Augmenter les franchises accroitrait  cette injustice et contribuerait de surcroît à imputer une plus grande responsabilité aux assurés.,AGAINST,fr,X-Stance
34248,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"Les 3 milliards de bénéfice réalisés annuellement par la Confédération ne doivent plus servir à rembourser la dette, mais doivent être redistribués sous forme de prestations.",FAVOR,fr,X-Stance
35951,La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,C'est d'ailleurs la mesure la plus efficace si l'on veut réduire les coûts de l'aide social (voir question antérieure),FAVOR,fr,X-Stance
36253,Êtes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femmes?,"La discrimination positive n’est pas la solution aux inégalités, elle l’accentue",AGAINST,fr,X-Stance
36400,La consommation de cannabis devrait-elle être légalisée?,"Les politiques répressives en vigueurs depuis plusieurs décennies n'ont pas permis de contenir le phénomène du deal de rue. Une nouvelle approche sur cette problématique doit être sérieusement envisagée. En outre, la manne financière potentielle permettrait de pallier en partie au problème de financement de notre système de retraites.",FAVOR,fr,X-Stance
36467,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,"Sur le principe, je suis favorable au vote électronique et à la simplification de la participation démocratique. Cependant, l'introduction définitive du vote électronique n'est possible que si celui-ci est suffisamment sécurisé et réalisé avec un système uniquement gouvernemental. A cet égard, la suspension du modèle développé par La Poste en partenariat avec l'opérateur espagnol Scytl est une bonne chose.",AGAINST,fr,X-Stance
36590,"Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?","Oui, comme expliqué plus haut, si accompagné d'un fort développement de l'accès à une mobilité douce et collective.",FAVOR,fr,X-Stance
36646,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,Cette idée est bonne. Mais je veux connaître les mesures que la Confédération pourrait prendre avant de la soutenir.,AGAINST,fr,X-Stance
37133,La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,"Elle doit être mieux ciblée et encouragée sur le plan fiscal, pour permettre à chacun de se former tout au long de sa vie.

De manière générale, l’offre s’est renforcée ces dernières années.",AGAINST,fr,X-Stance
37233,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,Il est grand temps d’innover les nouvelles stratégies managériales dans la gestion financière des coût de la santé. Le lobbying fait du mal à notre système.,AGAINST,fr,X-Stance
37282,Êtes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femmes?,Un salaire égal pour un travail équivalent est une idéale,FAVOR,fr,X-Stance
37582,Les conditions de naturalisation devraient-elles être revues à la hausse?,"Il faut surtout que la naturalisation redevienne un acte politique, et non plus administratif.",FAVOR,fr,X-Stance
39719,"Selon vous, les moyens légaux permettant de recourir à l’analyse ADN lors d’enquêtes devraient-ils être étendus?","Dans des règles claires, y compris toute destruction des échantillons après analyse, OUI",FAVOR,fr,X-Stance
39774,Faut-il interdire l'exportation de matériel de guerre produit en Suisse?,Il faut cependant interdire l'exportation vers les pays en guerre et ceux qui violent systématiquement les droits de l'homme.,AGAINST,fr,X-Stance
40216,Êtes-vous favorable à l'acquisition de nouveaux avions de combat pour l'armée suisse?,"Plus que la simple acquisition de nouveaux avions de combat, il s'agit d'un véritable acte de souveraineté et implique un partenariat stratégique avec le pays fournisseur.",FAVOR,fr,X-Stance
40493,Êtes-vous favorable à une hausse de l'âge de la retraite (p. ex. à 67 ans)?,"Au contraire, je suis favorable à une diminution de l'âge de la retraite à 60 ans pour toutes et tous.",AGAINST,fr,X-Stance
40495,Les rentes de la caisse de pension doivent-elles être adaptées à l'allongement de l'espérance de vie (réduction du taux de conversion)?,Il faut fusionner l'AVS et le deuxième pilier et ainsi garantir une rente minimale de 4000 francs à chacun·e.,AGAINST,fr,X-Stance
40509,La Confédération devrait-elle soutenir davantage les énergies renouvelables?,Notamment la production d'énergies renouvelables décentralisées et gérée par des collectivités locales.,FAVOR,fr,X-Stance
40959,Une initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette proposition?,L'une des propositions les plus importantes en discussion actuellement!!!,FAVOR,fr,X-Stance
40962,"Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?","Pour favoriser l'usage de moyens de transport moins polluants (vélo, co-voiturage, transports publics, etc.)",FAVOR,fr,X-Stance
41194,La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?,Il faut aider tous ceux qui veulent s'intégrer pour la paix de chacun.,FAVOR,fr,X-Stance
41229,"Selon vous, les moyens légaux permettant de recourir à l’analyse ADN lors d’enquêtes devraient-ils être étendus?",C'est une manière d'éviter des erreurs et donc de trouver les réels coupables.,FAVOR,fr,X-Stance
41300,L'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familial?,"Les familles qui gardent eux-mêmes leurs enfants doivent être récompensées par des déductions fiscales et ce modèle doit être privilégié, mais on doit aussi aider celles qui n'ont guère d'autres choix que les accueils extra-familiaux.",FAVOR,fr,X-Stance
41304,La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,Ces formations sont d'une grande utilité pour les travailleurs approchant l'âge de la retraite afin d'être concurrentiel sur le marché du travail,FAVOR,fr,X-Stance
41405,Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?,Les grèves du climat ont montré que les jeunes ont besoin de s'exprimer sur l'avenir qui sera majoritairement le leur!,FAVOR,fr,X-Stance
41568,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,"Le poids du lobby des assureurs est trop important dans la politique de santé. On en veut pour preuve l’interdiction réclamée par les caisses maladie du modèle fribourgeois de prescription des médicaments dans les EMS, modèle pourtant efficace, avec pour conséquence des millions supplémentaires à la charge du contribuable fribourgeois. Il y a donc des possibilités d'optimiser les  dépenses de la santé sans faire supporter davantage de coûts aux assurés.",AGAINST,fr,X-Stance
41604,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"Si il s’agit notamment de diminuer le coût des médicaments, y compris les génériques, souvent trois fois plus chers que dans les pays limitrophes, il n’y a aucune hésitation à avoir. Il y a aussi la valorisation du rôle du médecin de famille qui peut procéder à une première évaluation de l’état du patient. Pour diminuer les couts de la santé c’est tout une batterie de mesures qu’il faut déployer et pas toujours au détriment des médecins, ni de la qualité des soins.",FAVOR,fr,X-Stance
41695,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,"C'est avec un système d'assurance maladie financé sur le modèle de l'AVS avec des primes
proportionnelles au revenu qu'on peut faire face aux coûts de la santé dans des conditions qui ne
représentent pas une charge financière écrasante pour certain·e·s.",AGAINST,fr,X-Stance
41726,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent?,Il s'agit de démocratie basique. Il faudrait aussi plafonner les montants maximum pour les campagnes afin de ne pas défavoriser des partis avec peu de ressources.,FAVOR,fr,X-Stance
42096,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,on doit travailler à augmenter l'efficience des soins et non à dissuader d'être soigné.,AGAINST,fr,X-Stance
42100,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"Actuellement de nombreux actes sont réalisés à double : il y a des pistes d'économies dans ce domaine. 
En revanche, la qualité et la sécurité des soins ne doivent pas être remis en cause.",AGAINST,fr,X-Stance
42640,Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?,"Ce n'est pas une priorité mais on peut en parler, si la demande provient d'une majorité de jeunes",FAVOR,fr,X-Stance
43448,Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,"Oui, mais la politique de subside n'est qu'une fausse solution à l'augmentation des primes.

L'Etat ne devrait pas sponsoriser une activité privée avec des fonds publics quand celle-ci est largement bénéficiaire chaque année et ne se remet que très peu en question.",FAVOR,fr,X-Stance
43494,"Selon vous, les moyens légaux permettant de recourir à l’analyse ADN lors d’enquêtes devraient-ils être étendus?",Il faut donner à notre police et à notre justice la possibilité d'être percutantes pour lutter contre la criminalité.,FAVOR,fr,X-Stance
43767,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,Il y déjà suffisamment de gens qui ne peuvent pas payer. Ce n'est pas la solution,AGAINST,fr,X-Stance
44397,Soutenez-vous les efforts au niveau des cantons visant à réduire les prestations d'aide sociale?,"À nouveau, il est inutile et contre productif pour l'économie de couper l'aide aux plus faibles. Si leur minimum vital n'est pas assuré, il devient extrêmement difficile de les réintégrer sur le marché du travail.",AGAINST,fr,X-Stance
45071,"Selon vous, les moyens légaux permettant de recourir à l’analyse ADN lors d’enquêtes devraient-ils être étendus?","C'est un outil puissant et efficace, pourquoi s'en priver ?",FAVOR,fr,X-Stance
45147,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,"Les coûts de la santé ne doivent pas augmenter. Une solution pour diminuer ces coûts serait d'empêcher certains patients d'aller toutes les deux semaines chez le médecin. 
Un médecin n'est pas un psychologue et ne devrait être consulté qu'en cas de réel problème.",AGAINST,fr,X-Stance
45731,La Confédération devrait-elle soutenir davantage les énergies renouvelables?,"Actuellement, la Suisse a presque atteint le maximum de son efficacité en matière d'énergies renouvelables, il n'est donc plus nécessaire de centrer nos efforts sur ce domaine-là, il s'agit en fait d'une fausse bonne idée. Ce qu'il faudrait, c'est se tourner vers d'autres aspects plus urgents concernant la transition énergétique, comme l'isolation des bâtiments ou la revalorisation de la chaleur fatale.",AGAINST,fr,X-Stance
45735,Le moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 2021?,"Les OGM en tant que tels ne sont pas dangereux pour la santé, il faut par contre pouvoir en contrôler l'utilisation.",AGAINST,fr,X-Stance
45793,Les personnes sans-papiers devraient-elles pouvoir obtenir plus facilement un statut de séjour régularisé?,"Il n'est pas souhaitable de créer une injustice entre les migrants qui ont déposé une demande légale et qui a été refusée contre ceux venus illégalement, mais qui se serait fait régulariser. Cependant, il serait sage de prendre cette problématique au cas par cas. En effet, ceux venus illégalement, mais que nous n'avons pas été capable d'expulser alors qu'ils travaillent depuis des années, se verrait moins exploité et donc contribuerai plus fiscalement tout en limitant le travail au noir.",FAVOR,fr,X-Stance
46049,Approuveriez-vous le principe du consentement présumé pour le don d’organes?,"On présume que chacun est d'accord de recevoir, pourquoi pas de donner.",FAVOR,fr,X-Stance
46062,Approuveriez-vous le principe du consentement présumé pour le don d’organes?,Le corps d'un défunt n'est pas présumé appartenir à l'Etat. Le consentement éclairé doit être explicite à chaque fois qu'il s'agit de matériel humain.,AGAINST,fr,X-Stance
46497,"Selon vous, les moyens légaux permettant de recourir à l’analyse ADN lors d’enquêtes devraient-ils être étendus?",Ces deux institutions - justice et police -  avant d'obtenir des moyens supplémentaires d'analyses doivent réformer leurs fonctionnements.,AGAINST,fr,X-Stance
46572,Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,Un tel système conduit à la déresponsabilitation des patients face aux coûts de la santé.,AGAINST,fr,X-Stance
47147,"Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?","Cela fait partie de la responsabilité individuelle. Le service doit être proposé gratuitement puisqu'il découle de la santé publique, mais en aucun cas être rendu obligatoire. Cela permettrait aussi des économies à l'Etat.",AGAINST,fr,X-Stance
47148,Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,"Dans la mesure où cela vise à l'uniformisation et à l'égalité de traitement, effectivement, cette initiative est positive. Cependant, il serait préférable de réformer l'entièreté du sytème des assurances privées vers un dispositif de santé inconditionnel et universel.",FAVOR,fr,X-Stance
47675,La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,"Les travailleurs d'un certain âge doivent avoir la possibilité de se reconvertir professionnellement! On pense à la numérisation, à la disparition de certains métiers.",FAVOR,fr,X-Stance
47981,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,"Oui à l'augmentation de la franchise minimale, mais non à une augmentation de la participation aux coûts médicaux personnels",FAVOR,fr,X-Stance
48372,Pensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle)?,"Prévoir des aménagements, plutôt que dispenses, respectant la liberté de religion de chacun",FAVOR,fr,X-Stance
48386,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent?,Aussi pour tous les acteurs et associations politiques avec une transparence sur les revenus et la fortune.,FAVOR,fr,X-Stance
48532,Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,"Face aux sommes indécentes payées aux patrons des assurances maladie et face aux coûts inutiles du marketing, de la publicité et du démarchage, il n'est pas normal que des personnes aient à payer plus que 10% de leur revenu pour leur santé.",FAVOR,fr,X-Stance
48543,Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)?,"La libéralisation compète du marché mettrait en danger la production locale d'électricité, elle est donc à éviter.",AGAINST,fr,X-Stance
49128,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,C'est le système et l'incapacité des milieux à travailler ensemble qui coûte trop cher pas les assurés.,AGAINST,fr,X-Stance
49482,Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)?,"Dans les faits, cette liberté est un leurre pour la majorité de la population. La libéralisation ne profite d'abord qu'aux grandes entreprises et aux gros consommateurs, ce qui est une aberration écologique",AGAINST,fr,X-Stance
49483,Êtes-vous favorable à l'introduction d'un salaire minimum de 4’000 CHF pour toutes les personnes salariées pour un poste à plein temps?,Ce niveau de salaire est aujourd'hui insuffisant dans beaucoup de régions. Le montant devrait être porté à 4500 CHF.,FAVOR,fr,X-Stance
49489,Les tronçons autoroutiers à forte fréquentation devraient-ils être étendus à six voies?,Le trafic individuel devrait réduit par un développement des transports collectifs et publics. Les autoroutes ont toujours créé du trafic.,AGAINST,fr,X-Stance
49771,"Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?",La vaccination doit être accompagnée des informations concernant les risques et les conséquences des maladies,AGAINST,fr,X-Stance
51171,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"La santé ne coutera pas moins cher, au contraire. Les cantons et la Confédération doivent consentir à un invesstissement, en particulier dans les domaines de la prévention, actuellement à la seule charge de l'initiative privée et dans les soins ambulatoires, actuellement entièrement pris en charge par les primes.",FAVOR,fr,X-Stance
52197,Le moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 2021?,Les expertises sur les OGM n'ont été réalisées pour l'essentiel que par les entreprises qui les fabriquent. Juges et parties. C'est un non sens total.,FAVOR,fr,X-Stance
53181,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,Il faut une caisse publique et le remboursement des soins dentaires.,AGAINST,fr,X-Stance
54379,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,Pas tant qu'il n'existe pas de solution 100% sûre. Une perte de confiance serait trop préjudiciable.,AGAINST,fr,X-Stance
54576,Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?,une mesure qui favorisera certainement l'intérêt des jeunes et leur implication.,FAVOR,fr,X-Stance
56072,"Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?",Dans la mesure où on développe en même temps les transports publics,FAVOR,fr,X-Stance
56720,La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,Il est important de soutenir les personnes qui souhaitent améliorer leur formation ou à se reconvertir mais cela devrait plutôt passer par des déductions fiscales cantonales que par des aides pécuniaires de la part de la Confédération.,AGAINST,fr,X-Stance
71069,Les permis de séjour des migrants et migrantes non ressortissants des Etats membres de l’UE/AELE devraient-ils être obligatoirement liés au respect de la Convention d’intégration?,"Dans notre canton, il y a un tissu économique basé sur des ressortissants non UE/AELE, qui travaille notamment dans des multinationales, la banque et les organisations internationales et dont il faut tenir compte pour une telle politique.",AGAINST,fr,X-Stance
71076,"Les traitements médicaux par méthodes complémentaires (alternative) doivent-ils continuer à être pris en charge, après 2017, par l’assurance maladie obligatoire (LAMal)?",Plutôt oui sous réserve qu'ils respectent le principe de l'assurance maladie obligatoire: coûts - efficacité - adéquation,FAVOR,fr,X-Stance
71270,"Seriez-vous favorable à la mise en place d’un service citoyen général obligatoire (service militaire, service civil prolongé ou engagement milicien dans la commune) pour les hommes et les femmes?",Le service militaire ou civile devrait être volontaire.,AGAINST,fr,X-Stance
71357,"À votre avis, l’application rigoureuse de l’initiative sur l’immigration de masse doit-elle avoir la priorité sur le maintien des accords bilatéraux conclus avec l’UE?",Si cela est juridiquement compatible avec la mise en oeuvre de l'initiative.,FAVOR,fr,X-Stance
71798,"Seriez-vous favorable à la mise en place d’un service citoyen général obligatoire (service militaire, service civil prolongé ou engagement milicien dans la commune) pour les hommes et les femmes?",L'engagement au service de la communauté ne se fait pas par décret et sous contrainte.,AGAINST,fr,X-Stance
71924,Êtes-vous favorable à l’adaptation des directives de l’aide sociale qui prévoit une réduction des prestations pour les familles nombreuses et les jeunes adultes?,"La question est peu claire: je suis favorable à ce que les prestations sociales soient identiques pour chacun, sans réduction en cas de famille nombreuse, sans réduction pour les jeunes adultes.",AGAINST,fr,X-Stance
72598,"Les traitements médicaux par méthodes complémentaires (alternative) doivent-ils continuer à être pris en charge, après 2017, par l’assurance maladie obligatoire (LAMal)?","Les médecines complémentaires/alternatives  sont essentielles pour un système de santé efficace, pour de la prévention et des traitements moins lourds, provoquant moins d'effets secondaires.",FAVOR,fr,X-Stance
