id,target,comment,label,language,source,transformation
88710,Êtes-vous en faveur d'une libéralisation complète des horaires d'ouverture des magasins (fixation des horaires d'ouverture selon leur propre appréciation)?,"Je suis par contre favorable à une certaine flexibilité pour les magasins de petite taille, comme cela se pratique par exemple à Lausanne. De manière générale, avec la possibilité de faire ses achats on-line, il est moins nécessaire qu'avant d'avoir en permanence des magasins ouverts.",AGAINST,fr,X-Stance,"Je suis par contre défavorable à une certaine flexibilité pour les magasins de petite taille, comme cela se pratique par exemple à Lausanne. De manière générale, malgré la possibilité de faire ses achats on-line, il reste aussi nécessaire qu’avant d’avoir en permanence des magasins ouverts."
82329,"Seriez-vous favorable à la mise en place d’un service citoyen général obligatoire (service militaire, service civil prolongé ou engagement milicien dans la commune) pour les hommes et les femmes?",A condition qu'il soit accompagné d'autres mesures concrètes réalisant l'égalité femmes-hommes.,FAVOR,fr,X-Stance,"Non, même si il est accompagné d'autres mesures concrètes réalisant l'égalité femmes-hommes."
77499,La protection contre le licenciement des travailleur-euse-s âgé-e-s (plus de 50 ans) doit-elle être renforcée?,A mettre en lien avec le besoin de valoriser et prolonger le travail des séniors particulièrement suite à la votation de février 2014 sur l'immigration.,FAVOR,fr,X-Stance,A mettre en lien avec le besoin de dévaloriser et réduire le travail des séniors particulièrement suite à la votation de février 2014 sur l'immigration.
125418,Seriez-vous favorables à un plan hospitalier national qui pourrait également mener à la fermeture de certains hôpitaux?,"Pour un marché libre de la santé, contre un trop grande implication de l'Etat",AGAINST,fr,X-Stance,"Contre un marché libre de la santé, pour un grande implication de l'Etat"
47148,Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,"Dans la mesure où cela vise à l'uniformisation et à l'égalité de traitement, effectivement, cette initiative est positive. Cependant, il serait préférable de réformer l'entièreté du sytème des assurances privées vers un dispositif de santé inconditionnel et universel.",FAVOR,fr,X-Stance,"Dans la mesure où cela vise à l'uniformisation et à l'égalité de traitement, cette initiative est insuffisante. Il serait préférable de réformer l'entièreté du système des assurances privées vers un dispositif de santé inconditionnel et universel."
74777,"D'après le concept de l'école intégrative, les enfants avec des difficultés d'apprentissage ou des handicaps sont, en principe, intégrés à des classes normales. Approuvez-vous cette approche?","Le concept de l'école intégrative est un joli concept qui se cogne rapidement aux réalités. S'il est des enfants à handicap qui s'intègrent aisément et bénéficient de cette intégration dans une classe normale pour la grande joie de toute la classe, il en est également pour qui cette intégration sera une difficulté supplémentaire, ou dont l'intégration ajoutée à celle d'autres enfants avec d'autres handicap rendra la classe ingérable. L'approche doit donc être pragmatique et non conceptuelle.",AGAINST,fr,X-Stance,"Le concept de l'école intégrative est un joli concept qui se cogne rapidement aux réalités. S'il est des enfants à handicap qui s'intègrent aisément et bénéficient de cette intégration dans une classe normale pour la grande joie de toute la classe, il en est également pour qui cette intégration sera une difficulté supplémentaire, ou dont l'intégration ajoutée à celle d'autres enfants avec d'autres handicap rendra la classe difficile à gérer. Malgré cela, l'approche doit rester fidèle à son concept initial."
81275,Une initiative populaire demande la sortie de l'énergie nucléaire d'ici à 2029. Y êtes-vous favorable?,"Le délai devrait être plus flexible.

La sortie du nucléaire n'est par contre pas remise en question.",AGAINST,fr,X-Stance,Le délai est suffisamment flexible. La sortie du nucléaire n'est pas remise en question.
78413,"Lors de l'attribution de subventions à des projets de recherche, la Confédération devrait-elle davantage tenir compte des bénéfices économiques qu'ils génèrent?",L'indépendance du domaine de la recherche doit être garantie.,AGAINST,fr,X-Stance,Oui tant que l'indépendance du domaine de la recherche est garantie.
56072,"Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?",Dans la mesure où on développe en même temps les transports publics,FAVOR,fr,X-Stance,Il faut d'abord qu'on développe les transports publics
78343,"Lors de l'attribution de subventions à des projets de recherche, la Confédération devrait-elle davantage tenir compte des bénéfices économiques qu'ils génèrent?",L'autonomie de l'enseignement et de recherche doit être garantie ; l'influence de la politique doit être évitée.,AGAINST,fr,X-Stance,L'autonomie de l'enseignement et de recherche doit être limitée ; l'influence de la politique doit être maximisée.
48543,Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)?,"La libéralisation compète du marché mettrait en danger la production locale d'électricité, elle est donc à éviter.",AGAINST,fr,X-Stance,"La libéralisation complète du marché de l'électricité protégerait la production locale d'électricité, elle doit donc être encouragée."
111515,Les permis de séjour des migrants et migrantes non ressortissants des Etats membres de l’UE/AELE devraient-ils être obligatoirement liés au respect de la Convention d’intégration?,"Dans les faits, les permis de séjour sont liés à une intégration réussie (ou en cours). La Convention d'intégration au sens formel ne constitue qu'un élément permettant d'évaluer l'intégration effective d'un migrant.",FAVOR,fr,X-Stance,"Dans les faits, les permis de séjour ne devraient pas être liés à une intégration réussie (ou en cours). La Convention d'intégration au sens formel constitue un élément insuffisant pour évaluer l'intégration effective d'un migrant."
40493,Êtes-vous favorable à une hausse de l'âge de la retraite (p. ex. à 67 ans)?,"Au contraire, je suis favorable à une diminution de l'âge de la retraite à 60 ans pour toutes et tous.",AGAINST,fr,X-Stance,"Oui, je suis d'ailleurs défavorable à une diminution de l'âge de la retraite à 60 ans pour toutes et tous. "
80584,Les décisions de la Cour européenne des droits de l’homme (CrEDH) sont contraignantes pour la Suisse. Trouvez-vous cela juste?,Les autorités suisses devraient toutefois faire preuve parfois de moins de zèle et de juridisme excessif à vouloir appliquer de manière anticipée la jurisprudence européenne.,FAVOR,fr,X-Stance, Les autorités suisses devraient faire preuve de moins de zèle et de juridisme excessif à vouloir appliquer de manière anticipée la jurisprudence européenne. 
32503,"Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?","La production des vaccins actuels se fait de plus en plus fréquemment par l'adjonction de produits toxiques comme l'aluminium, par ailleurs totalement inutile. En fait, derrière les vaccins se cachent des enjeux commerciaux énormes, au point de pouvoir manipuler les choix publics en matière de santé. Il est prioritaire d'amener plus de transparence dans les processus décisionnels.",AGAINST,fr,X-Stance,"La production des vaccins actuels se fait de moins en moins fréquemment par l'adjonction de produits toxiques comme l'aluminium. En fait, derrière les vaccins ne se cachent pas des enjeux commerciaux énormes, au point de manipuler les choix publics en matière de santé. Il est prioritaire de renforcer la confiance dans les processus décisionnels."
72598,"Les traitements médicaux par méthodes complémentaires (alternative) doivent-ils continuer à être pris en charge, après 2017, par l’assurance maladie obligatoire (LAMal)?","Les médecines complémentaires/alternatives  sont essentielles pour un système de santé efficace, pour de la prévention et des traitements moins lourds, provoquant moins d'effets secondaires.",FAVOR,fr,X-Stance,"Les médecines complémentaires/alternatives ne sont pas essentielles pour un système de santé efficace, ni pour de la prévention, ni des traitements moins lourds, provoquant moins d'effets secondaires."
26048,La Confédération devrait-elle soutenir davantage les énergies renouvelables?,La politique de l'arrosoir n'est pas efficace. La Confédération doit soutenir les énergies renouvelables mais il faut trouver les meilleurs moyens pour accélérer la production d'énergies renouvelables,FAVOR,fr,X-Stance,La politique de l'arrosoir n'est pas efficace. La Confédération ne doit pas soutenir les énergies renouvelables mais il faut trouver les meilleurs moyens pour accélérer la production d'énergies renouvelables 
122424,Les initiatives populaires doivent-elles être invalidées lorsqu'elles dérogent à la convention européenne des droits de l'homme (CEDH)?,"Le système actuel est fondé sur un énorme mensonge: on fait croire au peuple qu'il peut voter sur tout et n'importe quoi, alors que ce n'est pas le cas: le CEDH donne à n'importe quel citoyen le droit de saisir la justice si ses droits fondamentaux sont bafoués, même par un vote populaire. On ment au peuple lorsqu'on lui fait croire qu'il peut déroger à la CEDH à sa guise. Ou alors demandons au peuple s'il veut dénoncer la CEDH, et on verra la réponse!",FAVOR,fr,X-Stance,"Le système actuel est fondé sur un énorme mensonge: on fait croire au peuple qu'il ne peut pas voter sur tout et n'importe quoi, alors que cela devrait être le cas: le CEDH donne à n'importe quel citoyen le droit de saisir la justice si ses droits fondamentaux sont bafoués, même par un vote populaire. Cependant, on ment au peuple lorsqu'on lui fait croire qu'il ne peut pas déroger à la CEDH à sa guise. Ou alors demandons au peuple s'il veut conserver la CEDH, et on verra la réponse!"
29100,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,"Je suis pour le principe. Je pense qu'il s'agit d'une méthode d'avenir. Toutefois, la Suisse n'a pas suffisamment mis de moyens pour l'instant pour que cela soit protégé.",AGAINST,fr,X-Stance,"Je suis pour le principe. Je pense qu'il s'agit d'une méthode d'avenir. De plus, la Suisse a mis suffisamment de moyens pour que cela soit protégé. "
78195,La naturalisation devrait-elle être facilitée aux étrangers de la troisième génération?,Ces personnes sont nées dans notre pays. Elles n'ont souvent connu aucun autre lieu de villégiatures et ont suivi toutes leurs classes ici.,FAVOR,fr,X-Stance,"Ces personnes sont nées dans notre pays. Elles n'ont souvent connu aucun autre lieu de villégiatures et ont suivi toutes leurs classes ici. Toutefois, la naturalisation doit suivre les mêmes règles pour tous."
20228,Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,"Je préfère travailler sur les coûts avec des mesures concrêtes, soit au mode de financement de soins (ambulatoire et hospitalier), soit les deux. L’instauration d’indicateurs de performances capable de viser l’efficience est nécessaire au même titre qu’une transparence des coûts au niveau suisse.",AGAINST,fr,X-Stance,"Je soutiens cette proposition, tout en préférant travailler sur les coûts avec des mesures concrètes, soit au mode de financement de soins (ambulatoire et hospitalier), soit les deux. L’instauration d’indicateurs de performance capables de viser l’efficience est nécessaire au même titre qu’une transparence des coûts au niveau suisse."
114714,Un congé parental de 24 semaines doit-il être instauré en plus de l'assurance maternité existante?,"Si l'idée paraît séduisante au 1er abord, son financement paraît difficile à assurer à long terme.",AGAINST,fr,X-Stance,L'idée paraît séduisante et son financement facile à assurer.
78417,Êtes-vous favorable à la légalisation du statut des sans-papiers par un octroi collectif et unique de permis de séjour?,Cela créerait une inégalité de traitement par rapport aux migrants qui arrivent en Suisse légalement.,AGAINST,fr,X-Stance,Cela créerait une égalité de traitement par rapport aux migrants qui arrivent en Suisse légalement.
82345,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être complètement transparent?,"Il est juste que les comptes puissent être audités. Par contre, la majorité des Suisses tiennent à rester anonymes dans les causes qu'ils soutiennent.",AGAINST,fr,X-Stance,Il est juste que les comptes puissent être audités. La majorité des Suisses privilégient la transparence quant aux causes qu'ils soutiennent.
74698,"Seriez-vous favorable à la mise en place d’un service citoyen général obligatoire (service militaire, service civil prolongé ou engagement milicien dans la commune) pour les hommes et les femmes?","pour autant qu'il réponde a des besoins réel, et non pour ne servir à rien",FAVOR,fr,X-Stance,Il ne répond à aucun besoin réel et ne sert à rien.
54379,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,Pas tant qu'il n'existe pas de solution 100% sûre. Une perte de confiance serait trop préjudiciable.,AGAINST,fr,X-Stance,"Oui, même s’il n’existe pas de solution 100 % sûre. Une perte de confiance ne serait pas trop préjudiciable."
84990,La naturalisation devrait-elle être facilitée aux étrangers de la troisième génération?,les étrangers nés en Suisse devraient pouvoir bénéficier d'une présomption d'intégration. Mais cette naturalisation devrait intervenir avant la 18ème année.,FAVOR,fr,X-Stance, Les étrangers nés en Suisse ne devraient pas bénéficier d'une présomption d'intégration. Même si cette naturalisation devait intervenir avant la 18ème année. 
45147,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,"Les coûts de la santé ne doivent pas augmenter. Une solution pour diminuer ces coûts serait d'empêcher certains patients d'aller toutes les deux semaines chez le médecin. 
Un médecin n'est pas un psychologue et ne devrait être consulté qu'en cas de réel problème.",AGAINST,fr,X-Stance,Les coûts de la santé doivent augmenter. Une solution pour augmenter ces coûts serait d'encourager tous les patients à aller toutes les deux semaines chez le médecin. Un médecin est un psychologue et devrait être consulté pour tout problème.
36400,La consommation de cannabis devrait-elle être légalisée?,"Les politiques répressives en vigueurs depuis plusieurs décennies n'ont pas permis de contenir le phénomène du deal de rue. Une nouvelle approche sur cette problématique doit être sérieusement envisagée. En outre, la manne financière potentielle permettrait de pallier en partie au problème de financement de notre système de retraites.",FAVOR,fr,X-Stance,"Les politiques répressives en vigueur depuis plusieurs décennies ont permis de contenir le phénomène du deal de rue. Une nouvelle approche sur cette problématique ne doit pas être sérieusement envisagée. En outre, la perte financière potentielle compromettrait en partie le financement de notre système de retraites."
74331,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être complètement transparent?,Ceux qui s'y opposent ont certainement des choses à dissimuler.,FAVOR,fr,X-Stance,"Ceux qui le soutiennent ont certainement des choses à révéler.
"
75603,Seriez-vous favorable à une augmentation de la franchise minimale de l’assurance maladie obligatoire (LAMal) de 300 à 500 CHF?,"C'est proprement scandaleux, alors que les caisses-maladie privées accumulent des réserves faramineuses en toute opacité. Ce système d'escroquerie organisée qu'est un système de santé privé et soumis aux lois du marché (biaisées en l'occurence) n'a que trop duré. Il est grand temps de le remplacer par une caisse unique et publique, avec des primes en fonction du revenu",AGAINST,fr,X-Stance,"Ce n'est pas scandaleux, puisque les caisses-maladie publiques sont dépourvues de réserves suffisantes en toute transparence. Ce système de santé  privé et soumis aux lois du marché a encore sa place. Il n'est pas nécessaire de le remplacer par une caisse unique et publique, avec des primes en fonction du revenu"
24489,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,"Il est essentiel de chercher des meilleurs moyens pour garantir la participation aux votations, notamment pour les jeunes, les personnes à mobilité réduite ou depuis l'étranger. Toutefois, le système utilisé doit être fiable à 100%, ce qui n'est pas le cas aujourd'hui, et nous ne pouvons pas prendre de risque avec cela.",AGAINST,fr,X-Stance,"Il est essentiel de chercher des meilleurs moyens pour garantir la participation aux votations, notamment pour les jeunes, les personnes à mobilité réduite ou depuis l'étranger. Bien que le système utilisé ne soit pas fiable à 100%, ce qui est le cas aujourd'hui, nous pouvons néanmoins prendre de risque avec cela."
27515,"Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?","Les théories anti-vaccins sont aussi irrationnelles que dangereuses, et ont directement pour effet de faire réapparaître des maladies que l'on avait pensé éradiquées. Mais l'obligation ne doit clairement porter que sur les vaccins dont la nécessité est reconnue (hors de question, par exemple, de rendre obligatoire le vaccin contre la grippe)",FAVOR,fr,X-Stance,"Les théories anti-vaccins sont aussi rationnelles que bénéfiques, et n'ont pas directement pour effet de faire réapparaître des maladies que l'on avait pensé éradiquées. Aucune obligation ne devrait porter sur les vaccins, peu importe que leur nécessité soit reconnue (sans parler, par exemple, de rendre obligatoire le vaccin contre la grippe)"
74543,Êtes-vous favorable à l’adaptation des directives de l’aide sociale qui prévoit une réduction des prestations pour les familles nombreuses et les jeunes adultes?,"L'aide sociale est un filet essentiel pour de nombreuses personnes en situation de précarité, qui sont de plus en plus nombreuses. S'y attaquer est inacceptable.",AGAINST,fr,X-Stance,"L'aide sociale n'est pas un filet essentiel pour de nombreuses personnes en situation de précarité, qui sont de plus en plus nombreuses. S'y attaquer est acceptable."
77536,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être complètement transparent?,Une telle mesure contreviendrait au respect des libertés individuelles et de la sphère privée. Une personne doit avoir le droit de financer un parti politique sans que l'Etat en ait connaissance. Doivent évidemment être soumis à l'investigation étatique les financements de partis ou de mouvements politiques qui préconisent le recours au terrorisme.,AGAINST,fr,X-Stance,Une telle mesure serait conforme au respect des libertés individuelles et de la sphère privée. Une personne ne doit pas avoir le droit de financer un parti politique sans que l'Etat en ait connaissance. Doivent évidemment être soumis à l'investigation étatique les financements de partis ou de mouvements politiques qui préconisent le recours au terrorisme.
41405,Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?,Les grèves du climat ont montré que les jeunes ont besoin de s'exprimer sur l'avenir qui sera majoritairement le leur!,FAVOR,fr,X-Stance, Les grèves du climat ont montré que les jeunes ont d'autres moyens de s'exprimer sur l'avenir qui sera majoritairement le leur! 
145346,La consommation de cannabis devrait-elle être légalisée?,Je ne soutiens pas la consommation mais soutiens la légalisation. Cela permet de mieux encadrer et sensibiliser ainsi que d'internaliser les coûts externes pour la santé générés par les consommateurs.,FAVOR,fr,X-Stance,Je soutiens  la consommation mais je ne soutiens pas la légalisation. Cela ne permet pas de mieux encadrer et sensibiliser ni d'internaliser les coûts externes pour la santé générés par les consommateurs. 
36253,Êtes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femmes?,"La discrimination positive n’est pas la solution aux inégalités, elle l’accentue",AGAINST,fr,X-Stance,"La discrimination positive est la solution aux inégalités, elle les atténue."
28155,Une initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition?,Cependant leur application ne doit pas ressembler à aucune forme «d'ingérence » de la part de la Suisse dans les pays concernés,FAVOR,fr,X-Stance,"En effet, leur application ressemble à une forme «d'ingérence » de la part de la Suisse dans les pays concernés "
41726,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent?,Il s'agit de démocratie basique. Il faudrait aussi plafonner les montants maximum pour les campagnes afin de ne pas défavoriser des partis avec peu de ressources.,FAVOR,fr,X-Stance," S'agissant de démocratie, restons basiques. Il ne faudrait pas non plus plafonner les montants maximum pour les campagnes afin de ne pas favoriser des partis avec peu de ressources. "
26658,"Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?",Si la vaccination obligatoire permet de prévenir des pandémies c'est une bonne option. Toutefois attention à ne pas définir des vaccins obligatoires pour enrichir les industries pharmaceutiques. Les vaccins obligatoires doivent répondre à un besoin de santé publique.,FAVOR,fr,X-Stance,"La vaccination obligatoire ne permet pas de prévenir des pandémies c'est une mauvaise option. De plus attention, définir des vaccins obligatoires conduit à enrichir les industries pharmaceutiques. Les vaccins obligatoires doivent répondre à un besoin de santé publique. "
36467,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,"Sur le principe, je suis favorable au vote électronique et à la simplification de la participation démocratique. Cependant, l'introduction définitive du vote électronique n'est possible que si celui-ci est suffisamment sécurisé et réalisé avec un système uniquement gouvernemental. A cet égard, la suspension du modèle développé par La Poste en partenariat avec l'opérateur espagnol Scytl est une bonne chose.",AGAINST,fr,X-Stance,"Sur le principe, je suis favorable au vote électronique et à la simplification de la participation démocratique. L'introduction définitive du vote électronique est possible car celui-ci est suffisamment sécurisé et réalisé avec un système uniquement gouvernemental. A cet égard, la suspension du modèle développé par La Poste en partenariat avec l'opérateur espagnol Scytl est une bonne chose. "
42100,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"Actuellement de nombreux actes sont réalisés à double : il y a des pistes d'économies dans ce domaine. 
En revanche, la qualité et la sécurité des soins ne doivent pas être remis en cause.",AGAINST,fr,X-Stance," Actuellement de nombreux actes sont réalisés à double : il y a des pistes d'économies dans ce domaine. En plus, la qualité et la sécurité des soins ne seront pas remis en cause. "
143670,La Confédération devrait-elle soutenir davantage les énergies renouvelables?,Par une meilleure affectation de la taxe sur le CO2,FAVOR,fr,X-Stance, Il faudrait plutôt supprimer la taxe sur le CO2 
25522,La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?,"Pour une grande partie de la population salariée, c'est devenu un casse-tête, surtout avec une famille, de trouver un logement adéquat (surface, transports publics, équipement scolaire et parascolaire, terrains de jeu à proximité).",FAVOR,fr,X-Stance," Pour une grande partie de la population salariée, ce n'est pas difficile, même avec une famille, de trouver un logement adéquat (surface, transports publics, équipement scolaire et parascolaire, terrains de jeu à proximité). "
114856,L'acquisition d'une propriété d'habitation habitée par le propriétaire lui-même doit-elle être encouragée de manière plus importante grâce à des déductions d'impôts pour l'épargne logement?,Cela semble une bonne solution dans la mesure où le financement de l'immobilier en Suisse se base fortement sur l'épargne personnelle. 20% de fonds propres sont exigés! Ce serait bien que la constitution de cette épargne soit privilégiée fiscalement.,FAVOR,fr,X-Stance, Cela peut sembler une bonne solution dans la mesure où le financement de l'immobilier en Suisse se base fortement sur l'épargne personnelle. Mais seulement 20% de fonds propres sont exigés! Ce n'est pas utile que la constitution de cette épargne soit privilégiée fiscalement. 
88125,"Les traitements médicaux par méthodes complémentaires (alternative) doivent-ils continuer à être pris en charge, après 2017, par l’assurance maladie obligatoire (LAMal)?","S'il y a preuve que ceux qui utilisent ces méthodes diminuent les frais de la médecine traditionelle, pourquoi-pas?",FAVOR,fr,X-Stance," Il y n'a aucune preuve que ceux qui utilisent ces méthodes diminuent les frais de la médecine traditionelle, alors certainement-pas. "
143582,Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?,"Avant d'octroyer le droit de vote, il faudrait donner une vraie éducation citoyenne aux jeunes.",AGAINST,fr,X-Stance,Octroyer le droit de vote donnera une vraie éducation citoyenne aux jeunes.
45735,Le moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 2021?,"Les OGM en tant que tels ne sont pas dangereux pour la santé, il faut par contre pouvoir en contrôler l'utilisation.",AGAINST,fr,X-Stance,"Les OGM en tant que tels sont dangereux pour la santé, il faut pouvoir en contrôler l'utilisation."
52197,Le moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 2021?,Les expertises sur les OGM n'ont été réalisées pour l'essentiel que par les entreprises qui les fabriquent. Juges et parties. C'est un non sens total.,FAVOR,fr,X-Stance, Les expertises sur les OGM ont été réalisées pour l'essentiel par des experts indépendants. Ce qui fait sens.
114716,L'assurance invalidité n'attribue plus de rentes de l'AI en cas de troubles douloureux non décelables de manière objective (p. ex. après avoir subi un « coup du lapin »). Pensez-vous que cela soit justifié?,Accepter de délivrer une rente sur les seuls dires de la personne touchée autorise tous les abus.,FAVOR,fr,X-Stance,Ne pas accepter de délivrer une rente sur les seuls dires de la personne touchée autorise tous les abus.
25488,La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,Il est déjà possible de déduire ces diverses formations des impôts.,AGAINST,fr,X-Stance,Il ne suffit pas juste de déduire ces diverses formations des impôts.
51171,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"La santé ne coutera pas moins cher, au contraire. Les cantons et la Confédération doivent consentir à un invesstissement, en particulier dans les domaines de la prévention, actuellement à la seule charge de l'initiative privée et dans les soins ambulatoires, actuellement entièrement pris en charge par les primes.",FAVOR,fr,X-Stance,"La santé ne coutera pas moins cher. Les cantons et la Confédération doivent consentir à un invesstissement, en particulier dans les domaines de la prévention, actuellement à la seule charge de l'initiative privée et dans les soins ambulatoires, actuellement entièrement pris en charge par les primes."
