id,target,comment,label,language,source,transformation,translation,target_lang,rtt
88710,Êtes-vous en faveur d'une libéralisation complète des horaires d'ouverture des magasins (fixation des horaires d'ouverture selon leur propre appréciation)?,"Je suis par contre favorable à une certaine flexibilité pour les magasins de petite taille, comme cela se pratique par exemple à Lausanne. De manière générale, avec la possibilité de faire ses achats on-line, il est moins nécessaire qu'avant d'avoir en permanence des magasins ouverts.",AGAINST,fr,X-Stance,"Je suis par contre défavorable à une certaine flexibilité pour les magasins de petite taille, comme cela se pratique par exemple à Lausanne. De manière générale, malgré la possibilité de faire ses achats on-line, il reste aussi nécessaire qu’avant d’avoir en permanence des magasins ouverts.","On the other hand, I am opposed to a certain flexibility for small stores, as is the case for example in Lausanne. In general, despite the possibility of shopping online, it remains as necessary as before to have stores open all the time.",en,"En revanche, je suis opposé à une certaine flexibilité pour les petits magasins, comme c'est le cas par exemple à Lausanne. En général, malgré la possibilité de faire ses achats en ligne, il reste aussi nécessaire qu'auparavant d'avoir des magasins ouverts en permanence."
82329,"Seriez-vous favorable à la mise en place d’un service citoyen général obligatoire (service militaire, service civil prolongé ou engagement milicien dans la commune) pour les hommes et les femmes?",A condition qu'il soit accompagné d'autres mesures concrètes réalisant l'égalité femmes-hommes.,FAVOR,fr,X-Stance,"Non, même si il est accompagné d'autres mesures concrètes réalisant l'égalité femmes-hommes.","No, even if it is accompanied by other concrete measures that achieve gender equality.",en,"Non, même si elle est accompagnée d'autres mesures concrètes qui permettent d'atteindre l'égalité des sexes."
77499,La protection contre le licenciement des travailleur-euse-s âgé-e-s (plus de 50 ans) doit-elle être renforcée?,A mettre en lien avec le besoin de valoriser et prolonger le travail des séniors particulièrement suite à la votation de février 2014 sur l'immigration.,FAVOR,fr,X-Stance,A mettre en lien avec le besoin de dévaloriser et réduire le travail des séniors particulièrement suite à la votation de février 2014 sur l'immigration.,"To be linked to the need to devalue and reduce the work of seniors, particularly following the February 23, 2o14 vote on immigration.",en,"Elle est liée à la nécessité de dévaloriser et de réduire le travail des personnes âgées, en particulier à la suite du vote du 23 février 2014 sur l’immigration."
125418,Seriez-vous favorables à un plan hospitalier national qui pourrait également mener à la fermeture de certains hôpitaux?,"Pour un marché libre de la santé, contre un trop grande implication de l'Etat",AGAINST,fr,X-Stance,"Contre un marché libre de la santé, pour un grande implication de l'Etat","Against a free health market, for greater state involvement",en,"Contre un marché de la santé libre, pour une plus grande implication de l'État"
47148,Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,"Dans la mesure où cela vise à l'uniformisation et à l'égalité de traitement, effectivement, cette initiative est positive. Cependant, il serait préférable de réformer l'entièreté du sytème des assurances privées vers un dispositif de santé inconditionnel et universel.",FAVOR,fr,X-Stance,"Dans la mesure où cela vise à l'uniformisation et à l'égalité de traitement, cette initiative est insuffisante. Il serait préférable de réformer l'entièreté du système des assurances privées vers un dispositif de santé inconditionnel et universel.","To the extent that it aims at standardization and equal treatment, this initiative is insufficient. It would be preferable to reform the entire private insurance towards an unconditional and universal health .",en,"Dans la mesure où elle vise la standardisation et un traitement égal, cette initiative est insuffisante. Il serait préférable de réformer l'ensemble de l'assurance privée en vue d'une santé inconditionnelle et universelle."
74777,"D'après le concept de l'école intégrative, les enfants avec des difficultés d'apprentissage ou des handicaps sont, en principe, intégrés à des classes normales. Approuvez-vous cette approche?","Le concept de l'école intégrative est un joli concept qui se cogne rapidement aux réalités. S'il est des enfants à handicap qui s'intègrent aisément et bénéficient de cette intégration dans une classe normale pour la grande joie de toute la classe, il en est également pour qui cette intégration sera une difficulté supplémentaire, ou dont l'intégration ajoutée à celle d'autres enfants avec d'autres handicap rendra la classe ingérable. L'approche doit donc être pragmatique et non conceptuelle.",AGAINST,fr,X-Stance,"Le concept de l'école intégrative est un joli concept qui se cogne rapidement aux réalités. S'il est des enfants à handicap qui s'intègrent aisément et bénéficient de cette intégration dans une classe normale pour la grande joie de toute la classe, il en est également pour qui cette intégration sera une difficulté supplémentaire, ou dont l'intégration ajoutée à celle d'autres enfants avec d'autres handicap rendra la classe difficile à gérer. Malgré cela, l'approche doit rester fidèle à son concept initial.","The concept of the integrative school is a nice concept that quickly clashes with reality. If there are children with disabilities who integrate easily and benefit from this integration in a normal class to the great joy of the whole class, there are also those for whom this integration will be an additional difficulty, or whose integration added to that of other children with other disabilities will make the class difficult to manage. Despite this, the approach must remain faithful to its initial concept.",en,"Le concept d'école intégrative est un concept sympathique qui entre rapidement en conflit avec la réalité. S'il y a des enfants handicapés qui s'intègrent facilement et bénéficient de cette intégration dans une classe normale pour le plus grand plaisir de toute la classe, il y en a d'autres pour qui l'intégration sera une difficulté supplémentaire, ou dont l’intégration, ajoutée à celle d’autres enfants souffrant d’un autre handicap, rendra la classe difficile à gérer. Malgré cela, l'approche doit rester fidèle à son concept initial."
81275,Une initiative populaire demande la sortie de l'énergie nucléaire d'ici à 2029. Y êtes-vous favorable?,"Le délai devrait être plus flexible.

La sortie du nucléaire n'est par contre pas remise en question.",AGAINST,fr,X-Stance,Le délai est suffisamment flexible. La sortie du nucléaire n'est pas remise en question.,The deadline is flexible enough. The nuclear phase-out is not in question.,en,Le délai est suffisamment souple. La sortie du nucléaire n'est pas en question.
78413,"Lors de l'attribution de subventions à des projets de recherche, la Confédération devrait-elle davantage tenir compte des bénéfices économiques qu'ils génèrent?",L'indépendance du domaine de la recherche doit être garantie.,AGAINST,fr,X-Stance,Oui tant que l'indépendance du domaine de la recherche est garantie.,"Yes, as long as the independence of the research field is guaranteed.",en,"Oui, dans la mesure où l'indépendance du domaine de recherche est garantie."
56072,"Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?",Dans la mesure où on développe en même temps les transports publics,FAVOR,fr,X-Stance,Il faut d'abord qu'on développe les transports publics,Public transportation needs to be developed first,en,Il faut d'abord développer les transports en commun
78343,"Lors de l'attribution de subventions à des projets de recherche, la Confédération devrait-elle davantage tenir compte des bénéfices économiques qu'ils génèrent?",L'autonomie de l'enseignement et de recherche doit être garantie ; l'influence de la politique doit être évitée.,AGAINST,fr,X-Stance,L'autonomie de l'enseignement et de recherche doit être limitée ; l'influence de la politique doit être maximisée.,The autonomy of teaching and research must be limited; the influence of politics must be maximized.,en,L'autonomie de l'enseignement et de la recherche doit être limitée ; l'influence de la politique doit être maximisée.
48543,Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)?,"La libéralisation compète du marché mettrait en danger la production locale d'électricité, elle est donc à éviter.",AGAINST,fr,X-Stance,"La libéralisation complète du marché de l'électricité protégerait la production locale d'électricité, elle doit donc être encouragée.","Full liberalization of the electricity market would protect local electricity production, so it should be encouraged.",en,La libéralisation totale du marché de l'électricité protégerait la production locale d'électricité et devrait donc être encouragée.
111515,Les permis de séjour des migrants et migrantes non ressortissants des Etats membres de l’UE/AELE devraient-ils être obligatoirement liés au respect de la Convention d’intégration?,"Dans les faits, les permis de séjour sont liés à une intégration réussie (ou en cours). La Convention d'intégration au sens formel ne constitue qu'un élément permettant d'évaluer l'intégration effective d'un migrant.",FAVOR,fr,X-Stance,"Dans les faits, les permis de séjour ne devraient pas être liés à une intégration réussie (ou en cours). La Convention d'intégration au sens formel constitue un élément insuffisant pour évaluer l'intégration effective d'un migrant.","In fact, residence permits should not be linked to successful (or ongoing) integration. The formal integration agreement is an insufficient element to assess the effective integration of a migrant person.",en,"En fait, les permis de séjour ne devraient pas être liés à une intégration réussie (ou en cours). L'accord d'intégration formel est un élément insuffisant pour évaluer l'intégration effective d'une personne migrante."
40493,Êtes-vous favorable à une hausse de l'âge de la retraite (p. ex. à 67 ans)?,"Au contraire, je suis favorable à une diminution de l'âge de la retraite à 60 ans pour toutes et tous.",AGAINST,fr,X-Stance,"Oui, je suis d'ailleurs défavorable à une diminution de l'âge de la retraite à 60 ans pour toutes et tous. ","Yes, I am opposed to a reduction in the retirement age to sixty years old for everyone.",en,"Oui, je suis opposé à une réduction de l'âge de la retraite à soixante ans pour tous."
80584,Les décisions de la Cour européenne des droits de l’homme (CrEDH) sont contraignantes pour la Suisse. Trouvez-vous cela juste?,Les autorités suisses devraient toutefois faire preuve parfois de moins de zèle et de juridisme excessif à vouloir appliquer de manière anticipée la jurisprudence européenne.,FAVOR,fr,X-Stance, Les autorités suisses devraient faire preuve de moins de zèle et de juridisme excessif à vouloir appliquer de manière anticipée la jurisprudence européenne. ,Swiss authorities should show less zeal and excessive legalism in wanting to apply European jurisprudence in advance.,en,Les autorités suisses devraient faire preuve de moins de zèle et de légalisme excessif en voulant appliquer à l'avance la jurisprudence européenne.
32503,"Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?","La production des vaccins actuels se fait de plus en plus fréquemment par l'adjonction de produits toxiques comme l'aluminium, par ailleurs totalement inutile. En fait, derrière les vaccins se cachent des enjeux commerciaux énormes, au point de pouvoir manipuler les choix publics en matière de santé. Il est prioritaire d'amener plus de transparence dans les processus décisionnels.",AGAINST,fr,X-Stance,"La production des vaccins actuels se fait de moins en moins fréquemment par l'adjonction de produits toxiques comme l'aluminium. En fait, derrière les vaccins ne se cachent pas des enjeux commerciaux énormes, au point de manipuler les choix publics en matière de santé. Il est prioritaire de renforcer la confiance dans les processus décisionnels.","The production of current vaccines is done less and less frequently by the addition of toxic products such as aluminum. In fact, there are huge commercial stakes behind vaccines, to the point of manipulating public choices in terms of health. It is a priority to strengthen confidence in decision-making processes.",en,"La production des vaccins actuels se fait de moins en moins fréquemment par l'ajout de produits toxiques tels que l'aluminium. En fait, il y a d'énormes enjeux commerciaux derrière les vaccins, au point de manipuler les choix du public en matière de santé. Il est prioritaire de renforcer la confiance dans les processus décisionnels."
72598,"Les traitements médicaux par méthodes complémentaires (alternative) doivent-ils continuer à être pris en charge, après 2017, par l’assurance maladie obligatoire (LAMal)?","Les médecines complémentaires/alternatives  sont essentielles pour un système de santé efficace, pour de la prévention et des traitements moins lourds, provoquant moins d'effets secondaires.",FAVOR,fr,X-Stance,"Les médecines complémentaires/alternatives ne sont pas essentielles pour un système de santé efficace, ni pour de la prévention, ni des traitements moins lourds, provoquant moins d'effets secondaires.","Complementary/alternative medicines are not essential for an effective health , nor for prevention or less heavy treatments that cause fewer side effects.",en,"Les médecines complémentaires/alternatives ne sont pas essentielles pour une santé efficace, ni pour la prévention ou des traitements moins lourds qui causent moins d'effets secondaires."
26048,La Confédération devrait-elle soutenir davantage les énergies renouvelables?,La politique de l'arrosoir n'est pas efficace. La Confédération doit soutenir les énergies renouvelables mais il faut trouver les meilleurs moyens pour accélérer la production d'énergies renouvelables,FAVOR,fr,X-Stance,La politique de l'arrosoir n'est pas efficace. La Confédération ne doit pas soutenir les énergies renouvelables mais il faut trouver les meilleurs moyens pour accélérer la production d'énergies renouvelables ,"The ""watering can"" policy is not effective. The Confederation should not support renewable energies, but we must find the best ways to accelerate the production of renewable energy",en,"La politique de « l'arrosoir » n'est pas efficace. La Confédération ne devrait pas soutenir les énergies renouvelables, mais nous devons trouver les meilleures façons d'accélérer la production d'énergie renouvelable"
122424,Les initiatives populaires doivent-elles être invalidées lorsqu'elles dérogent à la convention européenne des droits de l'homme (CEDH)?,"Le système actuel est fondé sur un énorme mensonge: on fait croire au peuple qu'il peut voter sur tout et n'importe quoi, alors que ce n'est pas le cas: le CEDH donne à n'importe quel citoyen le droit de saisir la justice si ses droits fondamentaux sont bafoués, même par un vote populaire. On ment au peuple lorsqu'on lui fait croire qu'il peut déroger à la CEDH à sa guise. Ou alors demandons au peuple s'il veut dénoncer la CEDH, et on verra la réponse!",FAVOR,fr,X-Stance,"Le système actuel est fondé sur un énorme mensonge: on fait croire au peuple qu'il ne peut pas voter sur tout et n'importe quoi, alors que cela devrait être le cas: le CEDH donne à n'importe quel citoyen le droit de saisir la justice si ses droits fondamentaux sont bafoués, même par un vote populaire. Cependant, on ment au peuple lorsqu'on lui fait croire qu'il ne peut pas déroger à la CEDH à sa guise. Ou alors demandons au peuple s'il veut conserver la CEDH, et on verra la réponse!","The current is based on a huge lie: people are led to believe that they cannot vote on anything, when in fact they should be able to: the ECHR gives any citizen the right to go to court if their fundamental rights are violated, even by a popular vote. However, people are lied to when they are made to believe they cannot derogate from the European Court of Human Rights at will. Or let's ask the people if they want to keep the European Convention on Human Rights, and we'll see the answer!",en,"Le courant est basé sur un énorme mensonge : les gens sont amenés à croire qu'ils ne peuvent pas voter sur quoi que ce soit, alors qu'en fait ils devraient pouvoir le faire : la CEDH donne à tout citoyen le droit d'aller en justice si ses droits fondamentaux sont violés, même par un vote populaire. Cependant, on ment aux gens lorsqu'on leur fait croire qu’ils ne pourraient pas déroger à la Cour européenne des droits de l'homme à volonté. Ou demandons aux gens s'ils veulent garder la Convention européenne des Droits de l’Homme, et nous verrons la réponse!"
29100,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,"Je suis pour le principe. Je pense qu'il s'agit d'une méthode d'avenir. Toutefois, la Suisse n'a pas suffisamment mis de moyens pour l'instant pour que cela soit protégé.",AGAINST,fr,X-Stance,"Je suis pour le principe. Je pense qu'il s'agit d'une méthode d'avenir. De plus, la Suisse a mis suffisamment de moyens pour que cela soit protégé. ","I'm in favor of the principle. I think it's a method of the future. In addition, Switzerland has provided enough resources to protect it.",en,"Je suis favorable au principe. Je pense qu'il s'agit d'une méthode d'avenir. En outre, la Suisse a fourni suffisamment de ressources pour le protéger."
78195,La naturalisation devrait-elle être facilitée aux étrangers de la troisième génération?,Ces personnes sont nées dans notre pays. Elles n'ont souvent connu aucun autre lieu de villégiatures et ont suivi toutes leurs classes ici.,FAVOR,fr,X-Stance,"Ces personnes sont nées dans notre pays. Elles n'ont souvent connu aucun autre lieu de villégiatures et ont suivi toutes leurs classes ici. Toutefois, la naturalisation doit suivre les mêmes règles pour tous.","These people were born in our country. They often haven't known any other vacation spots and have attended all their classes here. However, naturalization must follow the same rules for everyone.",en,"Ces gens sont nés dans notre pays. Ils n'ont souvent connu aucun autre lieu de vacances et ont suivi toutes leurs classes ici. Cependant, la naturalisation doit suivre les mêmes règles pour tout le monde."
20228,Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,"Je préfère travailler sur les coûts avec des mesures concrêtes, soit au mode de financement de soins (ambulatoire et hospitalier), soit les deux. L’instauration d’indicateurs de performances capable de viser l’efficience est nécessaire au même titre qu’une transparence des coûts au niveau suisse.",AGAINST,fr,X-Stance,"Je soutiens cette proposition, tout en préférant travailler sur les coûts avec des mesures concrètes, soit au mode de financement de soins (ambulatoire et hospitalier), soit les deux. L’instauration d’indicateurs de performance capables de viser l’efficience est nécessaire au même titre qu’une transparence des coûts au niveau suisse.","I support this proposal, while preferring to work on costs with concrete measures, either in the mode of care financing (outpatient and inpatient), or both. The establishment of performance indicators capable of targeting efficiency is necessary, as is cost transparency at the Swiss level.",en,"Je soutiens cette proposition, tout en préférant travailler sur les coûts avec des mesures concrètes, soit dans le mode de financement des soins (ambulatoire et hospitalier), soit dans les deux. L'établissement d'indicateurs de performance capables de cibler l'efficacité est nécessaire, tout comme la transparence des coûts au niveau suisse."
114714,Un congé parental de 24 semaines doit-il être instauré en plus de l'assurance maternité existante?,"Si l'idée paraît séduisante au 1er abord, son financement paraît difficile à assurer à long terme.",AGAINST,fr,X-Stance,L'idée paraît séduisante et son financement facile à assurer.,The idea seems attractive and its funding easy to secure.,en,L'idée semble attrayante et son financement facile à sécuriser.
78417,Êtes-vous favorable à la légalisation du statut des sans-papiers par un octroi collectif et unique de permis de séjour?,Cela créerait une inégalité de traitement par rapport aux migrants qui arrivent en Suisse légalement.,AGAINST,fr,X-Stance,Cela créerait une égalité de traitement par rapport aux migrants qui arrivent en Suisse légalement.,This would create equal treatment compared to migrants who arrive in Switzerland legally.,en,Cela créerait un traitement égal par rapport aux migrants qui arrivent en Suisse de manière légale.
82345,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être complètement transparent?,"Il est juste que les comptes puissent être audités. Par contre, la majorité des Suisses tiennent à rester anonymes dans les causes qu'ils soutiennent.",AGAINST,fr,X-Stance,Il est juste que les comptes puissent être audités. La majorité des Suisses privilégient la transparence quant aux causes qu'ils soutiennent.,It is fair that the accounts can be audited. The majority of the Swiss prefer transparency in the causes they support.,en,Il est juste que les comptes puissent être audités. La majorité des Suisses préfèrent la transparence dans les causes qu'ils soutiennent.
74698,"Seriez-vous favorable à la mise en place d’un service citoyen général obligatoire (service militaire, service civil prolongé ou engagement milicien dans la commune) pour les hommes et les femmes?","pour autant qu'il réponde a des besoins réel, et non pour ne servir à rien",FAVOR,fr,X-Stance,Il ne répond à aucun besoin réel et ne sert à rien.,It does not meet any real need and serves no purpose.,en,Il ne répond à aucun besoin réel et n'a aucune utilité.
54379,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,Pas tant qu'il n'existe pas de solution 100% sûre. Une perte de confiance serait trop préjudiciable.,AGAINST,fr,X-Stance,"Oui, même s’il n’existe pas de solution 100 % sûre. Une perte de confiance ne serait pas trop préjudiciable.","Yes, even if there isn’t a completely safe solution. A loss of confidence wouldn’t be too damaging.",en,"Oui, même s'il n'y a pas de solution complètement sûre. Une perte de confiance ne serait pas trop dommageable."
84990,La naturalisation devrait-elle être facilitée aux étrangers de la troisième génération?,les étrangers nés en Suisse devraient pouvoir bénéficier d'une présomption d'intégration. Mais cette naturalisation devrait intervenir avant la 18ème année.,FAVOR,fr,X-Stance, Les étrangers nés en Suisse ne devraient pas bénéficier d'une présomption d'intégration. Même si cette naturalisation devait intervenir avant la 18ème année. ,Foreigners born in Switzerland should not benefit from a presumption of integration. Even if this naturalization were to occur before the age of eighteen.,en,Les étrangers nés en Suisse ne doivent pas bénéficier d'une présomption d'intégration. Même si cette naturalisation devait avoir lieu avant l'âge de dix-huit ans.
45147,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,"Les coûts de la santé ne doivent pas augmenter. Une solution pour diminuer ces coûts serait d'empêcher certains patients d'aller toutes les deux semaines chez le médecin. 
Un médecin n'est pas un psychologue et ne devrait être consulté qu'en cas de réel problème.",AGAINST,fr,X-Stance,Les coûts de la santé doivent augmenter. Une solution pour augmenter ces coûts serait d'encourager tous les patients à aller toutes les deux semaines chez le médecin. Un médecin est un psychologue et devrait être consulté pour tout problème.,Health costs must increase. One solution to increase these costs would be to encourage all patients to go to the doctor every two weeks. A doctor is a psychologist and should be consulted for any problem.,en,Les coûts de santé doivent augmenter. Une solution pour augmenter ces coûts serait d'encourager tous les patients à se rendre chez le médecin toutes les deux semaines. Un médecin est un psychologue et devrait être consulté pour tout problème.
36400,La consommation de cannabis devrait-elle être légalisée?,"Les politiques répressives en vigueurs depuis plusieurs décennies n'ont pas permis de contenir le phénomène du deal de rue. Une nouvelle approche sur cette problématique doit être sérieusement envisagée. En outre, la manne financière potentielle permettrait de pallier en partie au problème de financement de notre système de retraites.",FAVOR,fr,X-Stance,"Les politiques répressives en vigueur depuis plusieurs décennies ont permis de contenir le phénomène du deal de rue. Une nouvelle approche sur cette problématique ne doit pas être sérieusement envisagée. En outre, la perte financière potentielle compromettrait en partie le financement de notre système de retraites.","The repressive policies that have been in place for several decades have managed to contain the phenomenon of street dealing. A new approach to this issue should not be seriously considered. In addition, the potential financial loss would partly compromise the financing of our retirement .",en,"Les politiques répressives en place depuis plusieurs décennies ont réussi à contenir le phénomène de la vente à la sauvette. Une nouvelle approche de ce problème ne devrait pas être sérieusement envisagée. En outre, la perte financière potentielle compromettrait en partie le financement de notre retraite."
74331,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être complètement transparent?,Ceux qui s'y opposent ont certainement des choses à dissimuler.,FAVOR,fr,X-Stance,"Ceux qui le soutiennent ont certainement des choses à révéler.
",Those who support him certainly have things to reveal.,en,Ses partisans ont certainement des choses à révéler.
